label,pattern,attr,replace,category,hyphenate,pos
habit,shrub,lower,shrub,descriptor,,NOUN
habit,shrubby,lower,shrub,descriptor,,ADJ
habit,shrubs,lower,shrub,descriptor,,NOUN
habit,subacaulescent,lower,acaulescent,descriptor,,ADJ
habit,subcaulescent,lower,acaulescent,descriptor,,ADJ
habit,subshrub,lower,shrub,descriptor,,NOUN
habit,subshrubby,lower,shrub,descriptor,,ADJ
habit,subshrubs,lower,shrub,descriptor,,NOUN
habit,tree,lower,tree,descriptor,,NOUN
habit,trees,lower,tree,descriptor,,NOUN
habit,vine,lower,vine,descriptor,,NOUN
habit,vines,lower,vine,descriptor,,NOUN
habit_shape,caespitose,lower,cespitose,descriptor,,ADJ
habit_shape,cespitose,lower,cespitose,descriptor,,ADJ
habit_shape,frutescent,lower,frutescent,descriptor,,ADJ
habit_shape,suffrutescent,lower,epiphytic,descriptor,,ADJ
habitat,epilithic,lower,epilithic,descriptor,,ADJ
habitat,epiphloedal,lower,epiphloedic,descriptor,,ADJ
habitat,epiphloedic,lower,epiphloedic,descriptor,,ADJ
habitat,epiphyte,lower,epiphytic,descriptor,,NOUN
habitat,epiphytic,lower,epiphytic,descriptor,,ADJ
habitat,lithophyte,lower,lithophytic,descriptor,,NOUN
habitat,lithophytic,lower,lithophytic,descriptor,,ADJ
habitat,parasite,lower,parasitic,descriptor,,NOUN
habitat,parasitic,lower,parasitic,descriptor,,ADJ
length_units,centimeters,lower,cm,,,NOUN
length_units,cm,lower,cm,,,NOUN
length_units,decimeters,lower,dm,,,NOUN
length_units,dm,lower,dm,,,NOUN
length_units,m,lower,m,,,NOUN
length_units,m.,lower,m,,,NOUN
length_units,meters,lower,m,,,NOUN
length_units,millimeters,lower,mm,,,NOUN
length_units,mm,lower,mm,,,NOUN
length_units,µm,lower,µm,,,NOUN
location,abaxial,lower,,literal,,ADJ
location,adaxial,lower,,literal,,ADJ
location,adventitious,lower,,literal,,ADJ
location,basal,lower,,literal,,ADJ
location,cauline,lower,,literal,,ADJ
location,dorsal,lower,,literal,,ADJ
location,lateral,lower,,literal,,ADJ
location,radical,lower,,literal,,ADJ
location,terminal,lower,,literal,,ADJ
margin_follower,crisped,lower,,,,ADJ
margin_follower,margined,lower,,,,ADJ
margin_leader,coarsely,lower,,,,ADJ
margin_leader,coarsely,lower,,,,ADJ
margin_leader,remotely,lower,,,,ADJ
margin_leader,thickened,lower,,,,ADJ
margin_shape,ciliate,lower,,,,ADJ
margin_shape,corrugated,lower,,,,ADJ
margin_shape,crenate,lower,,,,ADJ
margin_shape,crenulate,lower,,,,ADJ
margin_shape,dentate,lower,,,,ADJ
margin_shape,denticulate,lower,,,,ADJ
margin_shape,doubly serrate,lower,,,,ADJ
margin_shape,entire,lower,,,,ADJ
margin_shape,involute,lower,,,,ADJ
margin_shape,lobate,lower,,,,ADJ
margin_shape,lobulate,lower,,,,ADJ
margin_shape,not bordered,lower,,,,ADJ
margin_shape,pungent,lower,,,,ADJ
margin_shape,scalloped,lower,,,,ADJ
margin_shape,serrate,lower,,,,ADJ
margin_shape,serrulate,lower,,,,ADJ
margin_shape,sinuate,lower,,,,ADJ
margin_shape,spiny,lower,,,,ADJ
margin_shape,toothed,lower,,,,ADJ
margin_shape,undulate,lower,,,,ADJ
mass_units,g,lower,g,,,NOUN
mass_units,gm,lower,g,,,NOUN
mass_units,gms,lower,g,,,NOUN
mass_units,grams,lower,g,,,NOUN
mass_units,kg,lower,kg,,,NOUN
mass_units,kilograms,lower,kg,,,NOUN
mass_units,ounce,lower,oz,,,NOUN
mass_units,ounces,lower,oz,,,NOUN
mass_units,oz,lower,oz,,,NOUN
mass_units,ozs,lower,oz,,,NOUN
mass_units,pound,lower,lbs,,,NOUN
mass_units,pounds,lower,lbs,,,NOUN
part,2 n,lower,2n,,,X
part,2n,lower,2n,,,X
part,achene,lower,achene,,,NOUN
part,achenes,lower,achene,,,NOUN
part,androecia,lower,stamen,,,NOUN
part,androecium,lower,stamen,,,NOUN
part,anther,lower,anther,,,NOUN
part,anthers,lower,anther,,,NOUN
part,auricle,lower,auricle,,,NOUN
part,bark,lower,bark,,,NOUN
part,blade,lower,leaf,,,NOUN
part,blades,lower,leaf,,,NOUN
part,bract,lower,bract,,,NOUN
part,bracteole,lower,bract,,brac-te-ole,NOUN
part,bracteoles,lower,bract,,brac-te-oles,NOUN
part,bractlet,lower,bract,,,NOUN
part,bractlets,lower,bract,,,NOUN
part,bracts,lower,bract,,,NOUN
part,branch,lower,branch,,,NOUN
part,branches,lower,branch,,,NOUN
part,branchlet,lower,branch,,,NOUN
part,branchlets,lower,branch,,,NOUN
part,calyces,lower,calyx,,,NOUN
part,calyx,lower,calyx,,,NOUN
part,capsule,lower,capsule,,,NOUN
